time,2012 Denmark_HH80_SP400
01/02/2012 03.00,0.234
01/02/2012 04.00,0.2386
01/02/2012 05.00,0.2337
01/02/2012 06.00,0.2682
01/02/2012 07.00,0.2793
01/02/2012 08.00,0.2687
01/02/2012 09.00,0.2592
01/02/2012 10.00,0.2642
01/02/2012 11.00,0.2309
01/02/2012 12.00,0.2861
01/02/2012 13.00,0.278
01/02/2012 14.00,0.2647
01/02/2012 15.00,0.2753
01/02/2012 16.00,0.3096
01/02/2012 17.00,0.3279
01/02/2012 18.00,0.3551
01/02/2012 19.00,0.3799
01/02/2012 20.00,0.3605
01/02/2012 21.00,0.3253
01/02/2012 22.00,0.3147
01/02/2012 23.00,0.2363
02/02/2012 00.00,0.1693
02/02/2012 01.00,0.1523
02/02/2012 02.00,0.1302
02/02/2012 03.00,0.1257
02/02/2012 04.00,0.1247
02/02/2012 05.00,0.1337
02/02/2012 06.00,0.1122
02/02/2012 07.00,0.0992
02/02/2012 08.00,0.0575
02/02/2012 09.00,0.031
02/02/2012 10.00,0.039
02/02/2012 11.00,0.0509
02/02/2012 12.00,0.0657
02/02/2012 13.00,0.0797
02/02/2012 14.00,0.0627
02/02/2012 15.00,0.0473
02/02/2012 16.00,0.0495
02/02/2012 17.00,0.0665
02/02/2012 18.00,0.0528
02/02/2012 19.00,0.0375
02/02/2012 20.00,0.0191
02/02/2012 21.00,0.0095
02/02/2012 22.00,0.0001
02/02/2012 23.00,0.0002
03/02/2012 00.00,0.3903
03/02/2012 01.00,0.3945
03/02/2012 02.00,0.3605
03/02/2012 03.00,0.4295
03/02/2012 04.00,0.4377
03/02/2012 05.00,0.4437
03/02/2012 06.00,0.2928
03/02/2012 07.00,0.2003
03/02/2012 08.00,0.1878
03/02/2012 09.00,0.1764
03/02/2012 10.00,0.294
03/02/2012 11.00,0.2757
03/02/2012 12.00,0.3039
03/02/2012 13.00,0.2536
03/02/2012 14.00,0.189
03/02/2012 15.00,0.1547
03/02/2012 16.00,0.1091
03/02/2012 17.00,0.0505
03/02/2012 18.00,0.0366
03/02/2012 19.00,0.0367
03/02/2012 20.00,0.0251
03/02/2012 21.00,0.0074
