Timestep,2025 - base case,2030 - base case,2035 - base case,2040 - base case,2050 - base case,2025 - re delay,2030 - re delay,2035 - re delay,2040 - re delay,2050 -re delay,2025 - ptx delay,2030 - ptx delays,2035 - ptx delay,2040 - ptx delay,2050 - ptx delay
S23-T057,138.1810583,106.364943,90.15299239,63.14535371,55.07353324,137.1031758,108.5799376,114.7329442,110.407319,117.0230018,137.9747928,106.9957344,85.58286347,30.66081073,19.69188614
S23-T058,126.9425448,100.8705366,70.07124606,62.76795237,54.62576742,133.8049976,107.2104223,111.4702835,107.1655486,114.6658434,126.9425448,96.01844997,67.21711632,30.32317387,19.61842912
S23-T059,120.0462151,73.4160095,65.70392012,59.19270198,50.86598095,124.2893859,101.4422816,105.3968863,103.9121782,108.1582505,120.0462151,58.70006292,15.88476372,28.03735919,18.05472101
S23-T060,104.5893166,44.58242776,54.72033886,57.91468621,48.74200743,124.157428,98.26163978,102.2795226,101.6158909,105.1081359,104.5893166,5.918062207,7.642923178,15.40183973,15.68981909
S23-T061,100.1101419,41.3775693,15.38625067,14.48088889,3.077532099,106.9366696,98.23109925,63.07233399,65.95830868,26.87557174,99.96070524,3.235600846,3.07426734,3.242456784,2.946342009
S23-T062,83.7396827,41.25299956,5.847612725,5.091659567,3.077532099,103.924671,98.23109925,62.94587813,65.27119786,26.87557174,83.65575579,3.07426734,3.071005846,3.080800126,2.94320844
S23-T063,99.96070524,41.25299956,5.611005963,5.091659567,3.077532099,105.9407953,98.23109925,62.94587813,65.27119786,26.87557174,99.96070524,3.230291088,3.071005846,3.080800126,2.94320844
S23-T064,100.1101419,41.3360045,5.853653606,5.091659567,3.077532099,106.8295457,98.23109925,62.94587813,65.27119786,26.87557174,99.96070524,3.235600846,3.071005846,3.080800126,2.94320844
S23-T065,101.2490201,44.80470411,54.55578083,56.58692468,48.04782275,106.9366696,100.1409092,101.2455372,99.9813105,105.3190429,101.2490201,5.622619847,3.249326454,20.85733582,3.080800126
S23-T066,120.0462151,100.3409991,67.6949176,60.36576358,52.10477222,124.1649093,102.3291627,108.5176988,104.2915069,111.6816445,120.0462151,68.97434965,65.04410558,28.9724822,18.62549819
S23-T067,138.1810583,103.6928159,71.68941135,62.89751898,54.93983298,139.5322289,110.7939755,112.164954,110.4073015,117.0230018,137.9747928,103.2140002,68.70036859,30.53760354,19.64684194
S23-T068,138.1810583,121.8695933,93.06466116,63.14535371,55.03426,139.5322289,120.5283842,115.7955752,110.5180067,117.1403293,137.9747928,120.8912566,92.40779231,30.75307919,19.67265212
S23-T069,138.1810583,122.1140736,93.07122234,63.20874969,55.03426,139.5322289,120.5283842,115.7955752,110.5180067,117.1403293,137.9747928,123.8580074,92.50048002,30.78405046,19.69188614
S23-T070,138.1810583,122.4857054,93.15800639,63.20874969,55.03426,139.5322289,120.5283842,115.7955752,110.4073015,117.1403293,137.9747928,123.8580074,92.50048002,30.75307919,19.69188614
